itemId,title,price_value,price_currency,image_url,condition,category_name,seller_username,location,shortDescription,cluster_id
v1|226736633219|0,Apple 16 Inch MacBook Pro 2019/2021 32GB RAM 512GB SSD + WARRANTY (M12W) Space,725.00,USD,https://i.ebayimg.com/images/g/wmgAAOSw87FoJ4HZ/s-l225.jpg,Very Good - Refurbished,,alpha_tech_store,551**,,9
v1|234702350191|0,"Apple MacBook Pro 15"" 16GB i7 3.7Ghz - Retina 1TB SSD Monterey - 3 Year Warranty",475.00,USD,https://i.ebayimg.com/images/g/58AAAOSwMWVjKdlr/s-l225.jpg,Used,,payless4apple,841**,,9
v1|234725338124|0,"13"" Apple MacBook Air 512gb SSD 8gb 3.2Ghz i7 TURBO - Monterey - 3 Year WARRANTY",329.00,USD,https://i.ebayimg.com/images/g/eWMAAOSw1ipjQES2/s-l225.jpg,Used,,payless4apple,841**,,9
v1|232090380033|0,"13"" Apple MacBook Air Big Sur 3.3Ghz i7 TURBO - 512GB SSD 8GB - 3 YEAR WARRANTY",319.00,USD,https://i.ebayimg.com/images/g/aY0AAOSwJmZhQQU4/s-l225.jpg,Used,,payless4apple,841**,,9
v1|127133794717|0,Apple - MacBook Air 15inch Apple M4 chip  - 16GB Memory - 256GB SSD - Silver,750.00,USD,https://i.ebayimg.com/images/g/g3AAAeSw3S1oMpuR/s-l225.jpg,New,,blissco25,935**,,9
v1|376133027549|0,"Apple M1 Pro MacBook Pro 14"" 16GB 1TB - A2442 (Space Gray) 2021 w/Year Warranty",879.99,USD,https://i.ebayimg.com/images/g/2Y8AAOSw9cNn8A5z/s-l225.jpg,Excellent - Refurbished,,tekdeals,920**,,9
v1|146605783447|0,13 Inch MacBook Air M3 Chip 256GB SSD Midnight Blue Bundle EUC A3113,650.00,USD,https://i.ebayimg.com/images/g/NdAAAeSwrARoM7mi/s-l225.jpg,Used,,hemostasis,040**,,9
v1|176846683687|0,"Apple MacBook Pro 15.4-Inch Intel Core i9, 32GB RAM, 1TB SSD, Space Grey",459.00,USD,https://i.ebayimg.com/images/g/twIAAOSw76dnrM5C/s-l225.jpg,Good - Refurbished,,dutyfreewholesale,871**,,9
v1|146460265518|445245545286,"Apple MacBook Pro M3 Pro 14.2"" 11-CoreCPU 14-CoreGPU 2023 512GB SSD 18GB RAM",1189.00,USD,https://i.ebayimg.com/images/g/jHYAAOSwI1Fn2ZG-/s-l225.jpg,Excellent - Refurbished,,guaranteecellular,070**,,9
v1|365274074621|0,"Apple MacBook Pro 14"" Apple M4 chip 16GB RAM 512GB SSD Space Black MW2U3LL/A",1249.00,USD,https://i.ebayimg.com/images/g/TMYAAOSwAMBnVGCt/s-l225.jpg,Open box,,quickshipelectronics,,,9
